season,gender,castaway,inspo,inspo,inspo,inspo,inspo,inspo,inspo
,,Reed,Malcolm Freberg,Stephenie LaGrossa,Bob Crowley,Lisa Whelchel,,,
,,Wes,Ozzy Lusth,Russell Hantz,,,,,
,Women,,,,,,,,
,,Jaclyn,Jefra Bland,,,,,,
,,Julie,Colleen Haskell,,,,,,
,,Kelley,Parvati Shallow,,,,,,
,,Nadiya,Sarah Lacina,Cliff Robinson,,,,,
,,Natalie,Tony Vlachos,,,,,,
,,Val,Monica Culpepper,Taj Johnson-George,,,,,
Season 30,,,,,,,,,
,Men,,,,,,,,
,,Dan,Stephenie LaGrossa,Tony Vlachos,Rupert Boneham,,,,
,,Joe,Malcolm Freberg,Ozzy Lusth,,,,,
,,Max,Jonathan Penner,,,,,,
,,Mike,John Cochran,Ozzy Lusth,Rob Mariano,,,,
,,Tyler,Rob Mariano,,,,,,
,,Vince,Parvati Shallow,Coach Wade,Fabio Birza,,,,
,,Will,Earl Cole,,,,,,
,Women,,,,,,,,
,,Carolyn,Sandra Diaz-Twine,Denise Stapley,Malcolm Freberg,,,,
,,Hali,Parvati Shallow,,,,,,
,,Jenn,Malcolm Freberg,,,,,,
,,Lindsey,Ciera Eastin,,,,,,
,,Nina,Tina Wesson,,,,,,
,,Shirin,Sandra Diaz-Twine,Rob Cesternino,,,,,
,,Sierra,Parvati Shallow,,,,,,
,,So,Ozzy Lusth,Parvati Shallow,John Cochran,,,,
Season 32,,,,,,,,,
,Men,,,,,,,,
,,Caleb,Hayden Moss,,,,,,
,,Darnell,Rob Mariano,Sean Rector,Tony Vlachos,JT Thomas,,,
,,Jason,Russell Hantz,,,,,,
,,Joe,Tom Westman,,,,,,
,,Neal,Erik Reichenbach,Rob Mariano,Tyson Apostol,Parvati Shallow,Russell Hantz,,
,,Nick,Courtney Yates,Jonathan Penner,,,,,
,,Peter,Pete Yurkowski,,,,,,
,,Tai,Spencer Bledsoe,Bob Crowley,,,,,
,Women,,,,,,,,
,,Alecia,Kass McQuillen,,,,,,
,,Anna,Parvati Shallow,,,,,,
,,Aubry,Sophie Clarke,John Cochran,Shambo Waters,,,,
,,Cydney,Tony Vlachos,,,,,,
,,Debbie,Coach Wade,,,,,,
,,Jennifer,Kim Spradlin-Wolfe,,,,,,
,,Julia,Natalie Tenerelli,Jenna Morasca,Parvati Shallow,Andrea Boehlke,,,
,,Liz,Parvati Shallow,,,,,,
,,Michele,Parvati Shallow,,,,,,
Season 33,,,,,,,,,
,Men,,,,,,,,
,,Adam,Spencer Bledsoe,Hayden Moss,,,,,
,,Bret,Jonathan Penner,,,,,,
,,Chris,Rob Mariano,,,,,,
,,David,John Cochran,Joe Anglim,,,,,
,,Jay,Russell Hantz,Woo Hwang,,,,,
,,Ken,Ozzy Lusth,,,,,,
,,Paul,Ozzy Lusth,,,,,,
,,Taylor,Woo Hwang,,,,,,
,,Will,Randy Bailey,,,,,,
,,Zeke,Tony Vlachos,,,,,,
,Women,,,,,,,,
,,CeCe,Spencer Bledsoe,Tasha Fox,,,,,
,,Figgy,Stephenie LaGrossa,,,,,,
,,Hannah,John Cochran,,,,,,
,,Jessica,Cirie Fields,,,,,,
,,Lucy,Jeremy Collins,,,,,,
,,Mari,Yul Kwon,Kelley Wentworth,,,,,
,,Michaela,Tasha Fox,Kelley Wentworth,Natalie Anderson,,,,
,,Michelle,Rob Mariano,,,,,,
,,Sunday,Lisa Whelchel,,,,,,
Season 35,,,,,,,,,
,Men,,,,,,,,
,,Ben,Russell Hantz,Rob Mariano,Joe Anglim,,,,
,,Cole,Spencer Bledsoe,,,,,,
,,Devon,Ozzy Lusth,Malcolm Freberg,,,,,
,,Joe,Tony Vlachos,Mike Holloway,Jeremy Collins,,,,
,,JP,Jay Starrett,,,,,,
,,Mike,Rob Mariano,,,,,,
,,Patrick,Joe Anglim,,,,,,
,,Ryan,Todd Herzog,,,,,,
,Women,,,,,,,,
,,Ali,Andrea Boehlke,,,,,,
,,Ashley,Richard Hatch,,,,,,
,,Chrissy,Tai Trang,Spencer Bledsoe,,,,,
,,Desi,Tasha Fox,,,,,,
,,Jessica,Andrea Boehlke,,,,,,
,,Katrina,Denise Stapley,,,,,,
,,Roark,Sophie Clarke,Courtney Yates,,,,,
,,Simone,Tai Trang,Michaela Bradshaw,,,,,
Season 36,,,,,,,,,
,Men,,,,,,,,
,,Bradley,Spencer Bledsoe,,,,,,
,,Brendan,Jeremy Collins,Tom Westman,,,,,
,,Chris,Ken McNickle,Michaela Bradshaw,Joe Anglim,,,,
,,Domenick,Cirie Fields,John Cochran,Rob Mariano,,,,
,,Donathan,Cirie Fields,Colton Cumbie,Todd Herzog,Tai Trang,Keith Nale,Sandy Burgin,JT Thomas
,,Jacob,Stephen Fishbach,David Wright,,,,,
,,James,Yul Kwon,,,,,,
,,Sebastian,Tyson Apostol,,,,,,
,,Michael,Malcolm Freberg,,,,,,
,,Wendell,Jeremy Collins,,,,,,
,Women,,,,,,,,
,,Angela,Michaela Bradshaw,,,,,,
,,Chelsea,Parvati Shallow,,,,,,
